0,English,Hindi
I forgot to bring my umbrella. - मैंने अपना छाता लाना भूल गया।,I forgot to bring my umbrella. , मैंने अपना छाता लाना भूल गया।
Can I borrow your phone charger? - क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?,Can I borrow your phone charger? , क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?
I love to cook. - मुझे खाना बनाना पसंद है।,I love to cook. , मुझे खाना बनाना पसंद है।
It’s too cold outside. - बाहर बहुत ठंड है।,It’s too cold outside. , बाहर बहुत ठंड है।
I’m not feeling up to it today. - मुझे आज इसका मन नहीं है।,I’m not feeling up to it today. , मुझे आज इसका मन नहीं है।
Please give me a glass of water. - कृपया मुझे एक गिलास पानी दें।,Please give me a glass of water. , कृपया मुझे एक गिलास पानी दें।
I want to go to the beach. - मुझे समुद्र तट पर जाना है।,I want to go to the beach. , मुझे समुद्र तट पर जाना है।
Do you know any good places to visit? - क्या आप जानते हैं कोई अच्छी जगह घुमने के लिए?,Do you know any good places to visit? , क्या आप जानते हैं कोई अच्छी जगह घुमने के लिए?
I like to travel during the holidays. - मुझे छुट्टियों में यात्रा करना पसंद है।,I like to travel during the holidays. , मुझे छुट्टियों में यात्रा करना पसंद है।
What’s your favorite sport? - आपका पसंदीदा खेल कौन सा है?,What’s your favorite sport? , आपका पसंदीदा खेल कौन सा है?
I am very tired today. - मैं आज बहुत थका हुआ हूँ।,I am very tired today. , मैं आज बहुत थका हुआ हूँ।
I need a new phone case. - मुझे नया फोन केस चाहिए।,I need a new phone case. , मुझे नया फोन केस चाहिए।
Can you explain that again? - क्या आप फिर से समझा सकते हैं?,Can you explain that again? , क्या आप फिर से समझा सकते हैं?
I want to learn to play the guitar. - मैं गिटार बजाना सीखना चाहता हूँ।,I want to learn to play the guitar. , मैं गिटार बजाना सीखना चाहता हूँ।
I need to buy a new pair of shoes. - मुझे एक नया जोड़ा जूते खरीदना है।,I need to buy a new pair of shoes. , मुझे एक नया जोड़ा जूते खरीदना है।
Can you recommend a good hotel? - क्या आप एक अच्छा होटल सुझा सकते हैं?,Can you recommend a good hotel? , क्या आप एक अच्छा होटल सुझा सकते हैं?
This is a beautiful painting. - यह एक सुंदर पेंटिंग है।,This is a beautiful painting. , यह एक सुंदर पेंटिंग है।
I’m not sure if I can make it. - मुझे यकीन नहीं है कि मैं कर पाऊँगा।,I’m not sure if I can make it. , मुझे यकीन नहीं है कि मैं कर पाऊँगा।
I want to try Indian food. - मुझे भारतीय खाना ट्राई करना है।,I want to try Indian food. , मुझे भारतीय खाना ट्राई करना है।
I’m going to visit my parents. - मैं अपने माता-पिता से मिलने जा रहा हूँ।,I’m going to visit my parents. , मैं अपने माता-पिता से मिलने जा रहा हूँ।
I need to pay the bills. - मुझे बिल का भुगतान करना है।,I need to pay the bills. , मुझे बिल का भुगतान करना है।
The food smells delicious. - खाने की खुशबू बहुत स्वादिष्ट है।,The food smells delicious. , खाने की खुशबू बहुत स्वादिष्ट है।
I am interested in photography. - मुझे फोटोग्राफी में रुचि है।,I am interested in photography. , मुझे फोटोग्राफी में रुचि है।
I’ll be there in 10 minutes. - मैं 10 मिनट में वहाँ पहुँच रहा हूँ।,I’ll be there in 10 minutes. , मैं 10 मिनट में वहाँ पहुँच रहा हूँ।
Where can I buy a SIM card? - मैं सिम कार्ड कहाँ खरीद सकता हूँ?,Where can I buy a SIM card? , मैं सिम कार्ड कहाँ खरीद सकता हूँ?
I am running late. - मैं देर से आ रहा हूँ।,I am running late. , मैं देर से आ रहा हूँ।
I like to read before bed. - मुझे सोने से पहले पढ़ना पसंद है।,I like to read before bed. , मुझे सोने से पहले पढ़ना पसंद है।
It’s very noisy in this room. - इस कमरे में बहुत शोर है।,It’s very noisy in this room. , इस कमरे में बहुत शोर है।
Can I get a coffee to go? - क्या मुझे कॉफी लेकर जा सकता हूँ?,Can I get a coffee to go? , क्या मुझे कॉफी लेकर जा सकता हूँ?
Do you have a map? - क्या आपके पास नक्शा है?,Do you have a map? , क्या आपके पास नक्शा है?
I need a doctor’s appointment. - मुझे डॉक्टर से अपॉइंटमेंट चाहिए।,I need a doctor’s appointment. , मुझे डॉक्टर से अपॉइंटमेंट चाहिए।
I don’t understand this language. - मुझे यह भाषा नहीं समझ आती।,I don’t understand this language. , मुझे यह भाषा नहीं समझ आती।
Can you take me to the airport? - क्या आप मुझे एयरपोर्ट छोड़ सकते हैं?,Can you take me to the airport? , क्या आप मुझे एयरपोर्ट छोड़ सकते हैं?
I’m trying to learn Spanish. - मैं स्पेनिश सीखने की कोशिश कर रहा हूँ।,I’m trying to learn Spanish. , मैं स्पेनिश सीखने की कोशिश कर रहा हूँ।
This book is very interesting. - यह किताब बहुत दिलचस्प है।,This book is very interesting. , यह किताब बहुत दिलचस्प है।
I need to find a parking spot. - मुझे एक पार्किंग की जगह ढूँढनी है।,I need to find a parking spot. , मुझे एक पार्किंग की जगह ढूँढनी है।
I am looking for a good deal. - मैं एक अच्छा सौदा ढूंढ रहा हूँ।,I am looking for a good deal. , मैं एक अच्छा सौदा ढूंढ रहा हूँ।
My phone battery is dying. - मेरे फोन की बैटरी खत्म हो रही है।,My phone battery is dying. , मेरे फोन की बैटरी खत्म हो रही है।
I want to buy a gift for my friend. - मुझे अपने दोस्त के लिए एक तोहफा खरीदना है।,I want to buy a gift for my friend. , मुझे अपने दोस्त के लिए एक तोहफा खरीदना है।
Can I sit here? - क्या मैं यहाँ बैठ सकता हूँ?,Can I sit here? , क्या मैं यहाँ बैठ सकता हूँ?
I’m going to the supermarket. - मैं सुपरमार्केट जा रहा हूँ।,I’m going to the supermarket. , मैं सुपरमार्केट जा रहा हूँ।
I don’t like spicy food. - मुझे मसालेदार खाना पसंद नहीं है।,I don’t like spicy food. , मुझे मसालेदार खाना पसंद नहीं है।
Do you have a recommendation? - क्या आपके पास कोई सिफारिश है?,Do you have a recommendation? , क्या आपके पास कोई सिफारिश है?
I want to visit the museum. - मुझे म्यूज़ियम जाना है।,I want to visit the museum. , मुझे म्यूज़ियम जाना है।
I am waiting for my order. - मैं अपने ऑर्डर का इंतजार कर रहा हूँ।,I am waiting for my order. , मैं अपने ऑर्डर का इंतजार कर रहा हूँ।
This place is very peaceful. - यह जगह बहुत शांतिपूर्ण है।,This place is very peaceful. , यह जगह बहुत शांतिपूर्ण है।
I need to get to the train station. - मुझे ट्रेन स्टेशन जाना है।,I need to get to the train station. , मुझे ट्रेन स्टेशन जाना है।
It’s very foggy today. - आज बहुत धुंआ है।,It’s very foggy today. , आज बहुत धुंआ है।
I’m not interested in that. - मुझे इसमें रुचि नहीं है।,I’m not interested in that. , मुझे इसमें रुचि नहीं है।
I have to finish this work. - मुझे यह काम खत्म करना है।,I have to finish this work. , मुझे यह काम खत्म करना है।
I’ll see you later. - मैं आपको बाद में मिलूंगा।,I’ll see you later. , मैं आपको बाद में मिलूंगा।
I am allergic to peanuts. - मुझे मूँगफली से एलर्जी है।,I am allergic to peanuts. , मुझे मूँगफली से एलर्जी है।
What is the time now? - अब क्या समय हुआ है?,What is the time now? , अब क्या समय हुआ है?
I want to visit a temple. - मुझे एक मंदिर जाना है।,I want to visit a temple. , मुझे एक मंदिर जाना है।
Where is the nearest restaurant? - सबसे नज़दीकी रेस्टोरेंट कहाँ है?,Where is the nearest restaurant? , सबसे नज़दीकी रेस्टोरेंट कहाँ है?
I’m going to the library. - मैं पुस्तकालय जा रहा हूँ।,I’m going to the library. , मैं पुस्तकालय जा रहा हूँ।
How much is this book? - यह किताब कितने की है?,How much is this book? , यह किताब कितने की है?
I need some help with my homework. - मुझे मेरे होमवर्क में मदद चाहिए।,I need some help with my homework. , मुझे मेरे होमवर्क में मदद चाहिए।
This is my first time here. - यहाँ पहली बार आया हूँ।,This is my first time here. , यहाँ पहली बार आया हूँ।
I want to join the gym. - मैं जिम जॉइन करना चाहता हूँ।,I want to join the gym. , मैं जिम जॉइन करना चाहता हूँ।
I feel a little bit sick. - मुझे थोड़ा सा बीमार महसूस हो रहा है।,I feel a little bit sick. , मुझे थोड़ा सा बीमार महसूस हो रहा है।
I love going to the park. - मुझे पार्क जाना बहुत पसंद है।,I love going to the park. , मुझे पार्क जाना बहुत पसंद है।
Do you have an extra pen? - क्या आपके पास एक अतिरिक्त कलम है?,Do you have an extra pen? , क्या आपके पास एक अतिरिक्त कलम है?
I’m looking for my wallet. - मैं अपना बटुआ ढूंढ रहा हूँ।,I’m looking for my wallet. , मैं अपना बटुआ ढूंढ रहा हूँ।
I need to buy a gift for my mom. - मुझे अपनी माँ के लिए एक उपहार खरीदना है।,I need to buy a gift for my mom. , मुझे अपनी माँ के लिए एक उपहार खरीदना है।
It’s too hot to go outside. - बाहर जाने के लिए बहुत गर्मी है।,It’s too hot to go outside. , बाहर जाने के लिए बहुत गर्मी है।
I want to try something new. - मैं कुछ नया ट्राई करना चाहता हूँ।,I want to try something new. , मैं कुछ नया ट्राई करना चाहता हूँ।
I’m trying to lose weight. - मैं वजन घटाने की कोशिश कर रहा हूँ।,I’m trying to lose weight. , मैं वजन घटाने की कोशिश कर रहा हूँ।
This is very confusing. - यह बहुत उलझन में डालने वाला है।,This is very confusing. , यह बहुत उलझन में डालने वाला है।
I’m going to sleep early tonight. - मैं आज रात जल्दी सोने जा रहा हूँ।,I’m going to sleep early tonight. , मैं आज रात जल्दी सोने जा रहा हूँ।
I need a new pair of glasses. - मुझे नए चश्मे की ज़रूरत है।,I need a new pair of glasses. , मुझे नए चश्मे की ज़रूरत है।
I want to buy some souvenirs. - मुझे कुछ स्मृति चिन्ह खरीदने हैं।,I want to buy some souvenirs. , मुझे कुछ स्मृति चिन्ह खरीदने हैं।
I am not feeling very well. - मुझे ज्यादा अच्छा नहीं लग रहा है।,I am not feeling very well. , मुझे ज्यादा अच्छा नहीं लग रहा है।
What is the temperature today? - आज का तापमान कितना है?,What is the temperature today? , आज का तापमान कितना है?
I like to eat chocolate. - मुझे चॉकलेट खाना पसंद है।,I like to eat chocolate. , मुझे चॉकलेट खाना पसंद है।
I’m studying for my exams. - मैं अपनी परीक्षाओं की तैयारी कर रहा हूँ।,I’m studying for my exams. , मैं अपनी परीक्षाओं की तैयारी कर रहा हूँ।
Do you have any plans for today? - क्या आपके पास आज के लिए कोई योजनाएँ हैं?,Do you have any plans for today? , क्या आपके पास आज के लिए कोई योजनाएँ हैं?
I’m feeling very sleepy. - मुझे बहुत नींद आ रही है।,I’m feeling very sleepy. , मुझे बहुत नींद आ रही है।
I need to buy some medicines. - मुझे कुछ दवाइयाँ खरीदनी हैं।,I need to buy some medicines. , मुझे कुछ दवाइयाँ खरीदनी हैं।
I don’t have any plans this weekend. - इस सप्ताहांत के लिए मेरी कोई योजनाएँ नहीं हैं।,I don’t have any plans this weekend. , इस सप्ताहांत के लिए मेरी कोई योजनाएँ नहीं हैं।
Can you recommend a good movie? - क्या आप एक अच्छी फिल्म सुझा सकते हैं?,Can you recommend a good movie? , क्या आप एक अच्छी फिल्म सुझा सकते हैं?
I’m planning to travel next year. - मैं अगले साल यात्रा करने की योजना बना रहा हूँ।,I’m planning to travel next year. , मैं अगले साल यात्रा करने की योजना बना रहा हूँ।
I’m feeling much better now. - अब मुझे बहुत बेहतर महसूस हो रहा है।,I’m feeling much better now. , अब मुझे बहुत बेहतर महसूस हो रहा है।
Where is the nearest train station? - सबसे नज़दीकी ट्रेन स्टेशन कहाँ है?,Where is the nearest train station? , सबसे नज़दीकी ट्रेन स्टेशन कहाँ है?
Can I pay in cash? - क्या मैं नकद में भुगतान कर सकता हूँ?,Can I pay in cash? , क्या मैं नकद में भुगतान कर सकता हूँ?
What is your favorite color? - आपका पसंदीदा रंग कौन सा है?,What is your favorite color? , आपका पसंदीदा रंग कौन सा है?
I am happy - मैं खुश हूं,I am happy , मैं खुश हूं
I am sad - मैं दुखी हूं,I am sad , मैं दुखी हूं
Can I help you? - क्या मैं आपकी मदद कर सकता हूं?,Can I help you? , क्या मैं आपकी मदद कर सकता हूं?
I am sorry to hear that - मुझे यह सुनकर दुख हुआ,I am sorry to hear that , मुझे यह सुनकर दुख हुआ
It's too expensive - यह बहुत महंगा है,It's too expensive , यह बहुत महंगा है
It’s very cheap - यह बहुत सस्ता है,It’s very cheap , यह बहुत सस्ता है
I don't have money - मेरे पास पैसे नहीं हैं,I don't have money , मेरे पास पैसे नहीं हैं
I am looking for a hotel - मैं होटल ढूंढ रहा हूं,I am looking for a hotel , मैं होटल ढूंढ रहा हूं
Can you give me directions? - क्या आप मुझे दिशा दे सकते हैं?,Can you give me directions? , क्या आप मुझे दिशा दे सकते हैं?
I am waiting for someone - मैं किसी का इंतजार कर रहा हूं,I am waiting for someone , मैं किसी का इंतजार कर रहा हूं
Where is the nearest supermarket? - सबसे नज़दीकी सुपरमार्केट कहाँ है?,Where is the nearest supermarket? , सबसे नज़दीकी सुपरमार्केट कहाँ है?
"Can I have the bill, please? - क्या मुझे बिल मिल सकता है?","Can I have the bill, please? ", क्या मुझे बिल मिल सकता है?
Please hurry up - कृपया जल्दी करें,Please hurry up , कृपया जल्दी करें
This place is beautiful - यह जगह बहुत सुंदर है,This place is beautiful , यह जगह बहुत सुंदर है
Can you speak slower? - क्या आप धीमा बोल सकते हैं?,Can you speak slower? , क्या आप धीमा बोल सकते हैं?
I need a taxi - मुझे टैक्सी चाहिए,I need a taxi , मुझे टैक्सी चाहिए
I don't like this - मुझे यह पसंद नहीं है,I don't like this , मुझे यह पसंद नहीं है
What is the weather like? - मौसम कैसा है?,What is the weather like? , मौसम कैसा है?
I feel great - मुझे बहुत अच्छा महसूस हो रहा है,I feel great , मुझे बहुत अच्छा महसूस हो रहा है
Where can I buy a SIM card? - मैं सिम कार्ड कहाँ खरीद सकता हूँ?,Where can I buy a SIM card? , मैं सिम कार्ड कहाँ खरीद सकता हूँ?
I am thirsty - मुझे प्यास लगी है,I am thirsty , मुझे प्यास लगी है
Do you have Wi-Fi? - क्या आपके पास Wi-Fi है?,Do you have Wi,Fi? - क्या आपके पास Wi-Fi है?
Where can I buy clothes? - मैं कपड़े कहाँ खरीद सकता हूँ?,Where can I buy clothes? , मैं कपड़े कहाँ खरीद सकता हूँ?
I am looking for a gift - मैं एक उपहार ढूंढ रहा हूँ,I am looking for a gift , मैं एक उपहार ढूंढ रहा हूँ
How long have you been here? - आप यहाँ कितने समय से हैं?,How long have you been here? , आप यहाँ कितने समय से हैं?
I don’t have time - मेरे पास समय नहीं है,I don’t have time , मेरे पास समय नहीं है
Please be patient - कृपया धैर्य रखें,Please be patient , कृपया धैर्य रखें
It's very hot today - आज बहुत गर्मी है,It's very hot today , आज बहुत गर्मी है
It's raining - बारिश हो रही है,It's raining , बारिश हो रही है
I feel sick - मुझे बीमार महसूस हो रहा है,I feel sick , मुझे बीमार महसूस हो रहा है
I need to go to the doctor - मुझे डॉक्टर के पास जाना है,I need to go to the doctor , मुझे डॉक्टर के पास जाना है
Where is the nearest pharmacy? - सबसे नज़दीकी दवाई की दुकान कहाँ है?,Where is the nearest pharmacy? , सबसे नज़दीकी दवाई की दुकान कहाँ है?
I have a headache - मुझे सिर में दर्द हो रहा है,I have a headache , मुझे सिर में दर्द हो रहा है
I have a stomach ache - मुझे पेट में दर्द हो रहा है,I have a stomach ache , मुझे पेट में दर्द हो रहा है
I need a nap - मुझे झपकी लेनी है,I need a nap , मुझे झपकी लेनी है
Can I get some coffee? - क्या मुझे कुछ कॉफी मिल सकती है?,Can I get some coffee? , क्या मुझे कुछ कॉफी मिल सकती है?
I need to buy some clothes - मुझे कुछ कपड़े खरीदने हैं,I need to buy some clothes , मुझे कुछ कपड़े खरीदने हैं
This is my favorite place - यह मेरी पसंदीदा जगह है,This is my favorite place , यह मेरी पसंदीदा जगह है
How do I get there? - मैं वहाँ कैसे पहुँच सकता हूँ?,How do I get there? , मैं वहाँ कैसे पहुँच सकता हूँ?
This is too expensive for me - यह मेरे लिए बहुत महंगा है,This is too expensive for me , यह मेरे लिए बहुत महंगा है
I have been here for 2 days - मैं यहाँ दो दिनों से हूँ,I have been here for 2 days , मैं यहाँ दो दिनों से हूँ
I am learning English - मैं अंग्रेज़ी सीख रहा हूँ,I am learning English , मैं अंग्रेज़ी सीख रहा हूँ
I can’t find my keys - मुझे अपनी चाबी नहीं मिल रही है,I can’t find my keys , मुझे अपनी चाबी नहीं मिल रही है
I love this song - मुझे यह गाना बहुत पसंद है,I love this song , मुझे यह गाना बहुत पसंद है
What is your hobby? - आपका शौक क्या है?,What is your hobby? , आपका शौक क्या है?
I enjoy reading - मुझे पढ़ना पसंद है,I enjoy reading , मुझे पढ़ना पसंद है
Do you like traveling? - क्या आपको यात्रा करना पसंद है?,Do you like traveling? , क्या आपको यात्रा करना पसंद है?
I am not sure - मुझे यकीन नहीं है,I am not sure , मुझे यकीन नहीं है
Can you speak Hindi? - क्या आप हिंदी बोल सकते हैं?,Can you speak Hindi? , क्या आप हिंदी बोल सकते हैं?
I need to buy a phone - मुझे एक फोन खरीदना है,I need to buy a phone , मुझे एक फोन खरीदना है
I am looking for a book - मैं एक किताब ढूंढ रहा हूँ,I am looking for a book , मैं एक किताब ढूंढ रहा हूँ
I am studying right now - मैं अभी पढ़ाई कर रहा हूँ,I am studying right now , मैं अभी पढ़ाई कर रहा हूँ
I am feeling better - मुझे अब बेहतर महसूस हो रहा है,I am feeling better , मुझे अब बेहतर महसूस हो रहा है
Where is the nearest metro station? - सबसे नज़दीकी मेट्रो स्टेशन कहाँ है?,Where is the nearest metro station? , सबसे नज़दीकी मेट्रो स्टेशन कहाँ है?
Can you help me find my way? - क्या आप मेरी मदद कर सकते हैं?,Can you help me find my way? , क्या आप मेरी मदद कर सकते हैं?
I need to call a cab - मुझे एक टैक्सी बुलानी है,I need to call a cab , मुझे एक टैक्सी बुलानी है
It’s very noisy here - यहाँ बहुत शोर है,It’s very noisy here , यहाँ बहुत शोर है
What is your favorite food? - आपका पसंदीदा खाना क्या है?,What is your favorite food? , आपका पसंदीदा खाना क्या है?
I am not feeling well - मुझे ठीक महसूस नहीं हो रहा है,I am not feeling well , मुझे ठीक महसूस नहीं हो रहा है
How old are you? - आप कितने साल के हैं?,How old are you? , आप कितने साल के हैं?
I am 25 years old - मैं 25 साल का हूँ,I am 25 years old , मैं 25 साल का हूँ
Where are you going? - आप कहाँ जा रहे हैं?,Where are you going? , आप कहाँ जा रहे हैं?
I am going to the office - मैं ऑफिस जा रहा हूँ,I am going to the office , मैं ऑफिस जा रहा हूँ
Can I use your bathroom? - क्या मैं आपका बाथरूम इस्तेमाल कर सकता हूँ?,Can I use your bathroom? , क्या मैं आपका बाथरूम इस्तेमाल कर सकता हूँ?
I want to go home - मुझे घर जाना है,I want to go home , मुझे घर जाना है
Please wait a moment - कृपया एक क्षण इंतजार करें,Please wait a moment , कृपया एक क्षण इंतजार करें
I am leaving now - मैं अब जा रहा हूँ,I am leaving now , मैं अब जा रहा हूँ
This is my phone number - यह मेरा फोन नंबर है,This is my phone number , यह मेरा फोन नंबर है
Where is the nearest airport? - सबसे नज़दीकी एयरपोर्ट कहाँ है?,Where is the nearest airport? , सबसे नज़दीकी एयरपोर्ट कहाँ है?
"Can I have the check, please? - क्या मुझे चेक मिल सकता है?","Can I have the check, please? ", क्या मुझे चेक मिल सकता है?
I need a bus ticket - मुझे बस का टिकट चाहिए,I need a bus ticket , मुझे बस का टिकट चाहिए
Can you help me with this? - क्या आप मेरी मदद कर सकते हैं?,Can you help me with this? , क्या आप मेरी मदद कर सकते हैं?
Can I pay by card? - क्या मैं कार्ड से भुगतान कर सकता हूँ?,Can I pay by card? , क्या मैं कार्ड से भुगतान कर सकता हूँ?
I don’t understand Hindi very well - मुझे हिंदी बहुत अच्छी तरह से नहीं आती,I don’t understand Hindi very well , मुझे हिंदी बहुत अच्छी तरह से नहीं आती
Hello - नमस्ते,Hello , नमस्ते
Good morning - सुप्रभात,Good morning , सुप्रभात
How are you? - आप कैसे हैं?,How are you? , आप कैसे हैं?
I am fine - मैं ठीक हूं,I am fine , मैं ठीक हूं
What is your name? - आपका नाम क्या है?,What is your name? , आपका नाम क्या है?
My name is Rahul - मेरा नाम राहुल है,My name is Rahul , मेरा नाम राहुल है
Where are you from? - आप कहां से हैं?,Where are you from? , आप कहां से हैं?
I am from India - मैं भारत से हूं,I am from India , मैं भारत से हूं
Please help me - कृपया मेरी मदद करें,Please help me , कृपया मेरी मदद करें
Thank you - धन्यवाद,Thank you , धन्यवाद
I need water - मुझे पानी चाहिए,I need water , मुझे पानी चाहिए
Where is the market? - बाजार कहां है?,Where is the market? , बाजार कहां है?
How much is this? - यह कितना का है?,How much is this? , यह कितना का है?
I like this - मुझे यह पसंद है,I like this , मुझे यह पसंद है
Can you repeat that? - क्या आप फिर से कह सकते हैं?,Can you repeat that? , क्या आप फिर से कह सकते हैं?
What is this called? - इसे क्या कहते हैं?,What is this called? , इसे क्या कहते हैं?
I am learning Hindi - मैं हिंदी सीख रहा हूं,I am learning Hindi , मैं हिंदी सीख रहा हूं
I love India - मैं भारत से प्यार करता हूं,I love India , मैं भारत से प्यार करता हूं
I am hungry - मुझे भूख लगी है,I am hungry , मुझे भूख लगी है
I am thirsty - मुझे प्यास लगी है,I am thirsty , मुझे प्यास लगी है
Open the door - दरवाज़ा खोलो,Open the door , दरवाज़ा खोलो
Close the window - खिड़की बंद करो,Close the window , खिड़की बंद करो
Please sit down - कृपया बैठिए,Please sit down , कृपया बैठिए
Stand up - खड़े हो जाइए,Stand up , खड़े हो जाइए
Come here - यहाँ आइए,Come here , यहाँ आइए
Go there - वहाँ जाइए,Go there , वहाँ जाइए
Be careful - सावधान रहिए,Be careful , सावधान रहिए
Listen to me - मेरी बात सुनो,Listen to me , मेरी बात सुनो
Speak slowly - धीरे बोलिए,Speak slowly , धीरे बोलिए
Speak loudly - ज़ोर से बोलिए,Speak loudly , ज़ोर से बोलिए
Turn left - बाएँ मुड़िए,Turn left , बाएँ मुड़िए
Turn right - दाएँ मुड़िए,Turn right , दाएँ मुड़िए
Go straight - सीधे जाइए,Go straight , सीधे जाइए
Stop here - यहाँ रुकिए,Stop here , यहाँ रुकिए
Move forward - आगे बढ़िए,Move forward , आगे बढ़िए
Move backward - पीछे हटिए,Move backward , पीछे हटिए
Don't worry - चिंता मत कीजिए,Don't worry , चिंता मत कीजिए
Hurry up - जल्दी कीजिए,Hurry up , जल्दी कीजिए
Wait a moment - एक क्षण रुकिए,Wait a moment , एक क्षण रुकिए
Please call me - कृपया मुझे फोन कीजिए,Please call me , कृपया मुझे फोन कीजिए
I understand - मैं समझ गया,I understand , मैं समझ गया
I don't understand - मैं नहीं समझा,I don't understand , मैं नहीं समझा
Can you help me? - क्या आप मेरी मदद कर सकते हैं?,Can you help me? , क्या आप मेरी मदद कर सकते हैं?
What happened? - क्या हुआ?,What happened? , क्या हुआ?
Nothing happened - कुछ नहीं हुआ,Nothing happened , कुछ नहीं हुआ
It's okay - कोई बात नहीं,It's okay , कोई बात नहीं
Be quiet - चुप रहिए,Be quiet , चुप रहिए
Don't be late - देर मत कीजिए,Don't be late , देर मत कीजिए
Let's go now - चलो अब चलें,Let's go now , चलो अब चलें
Come with me - मेरे साथ आइए,Come with me , मेरे साथ आइए
Do you speak English? - क्या आप अंग्रेज़ी बोलते हैं?,Do you speak English? , क्या आप अंग्रेज़ी बोलते हैं?
I can speak a little Hindi - मैं थोड़ी हिंदी बोल सकता हूँ,I can speak a little Hindi , मैं थोड़ी हिंदी बोल सकता हूँ
Where can I find a taxi? - मुझे टैक्सी कहाँ मिलेगी?,Where can I find a taxi? , मुझे टैक्सी कहाँ मिलेगी?
Can you show me the way? - क्या आप मुझे रास्ता दिखा सकते हैं?,Can you show me the way? , क्या आप मुझे रास्ता दिखा सकते हैं?
I am lost - मैं खो गया हूँ,I am lost , मैं खो गया हूँ
What time is it? - कितने बजे हैं?,What time is it? , कितने बजे हैं?
Can I sit here? - क्या मैं यहाँ बैठ सकता हूँ?,Can I sit here? , क्या मैं यहाँ बैठ सकता हूँ?
May I use your phone? - क्या मैं आपका फ़ोन इस्तेमाल कर सकता हूँ?,May I use your phone? , क्या मैं आपका फ़ोन इस्तेमाल कर सकता हूँ?
Where is the bathroom? - बाथरूम कहाँ है?,Where is the bathroom? , बाथरूम कहाँ है?
I need a doctor - मुझे डॉक्टर की ज़रूरत है,I need a doctor , मुझे डॉक्टर की ज़रूरत है
I am feeling sick - मैं बीमार महसूस कर रहा हूँ,I am feeling sick , मैं बीमार महसूस कर रहा हूँ
Where is the nearest hospital? - सबसे नज़दीकी अस्पताल कहाँ है?,Where is the nearest hospital? , सबसे नज़दीकी अस्पताल कहाँ है?
I forgot my wallet - मैं अपना बटुआ भूल गया हूँ,I forgot my wallet , मैं अपना बटुआ भूल गया हूँ
Can you lend me some money? - क्या आप मुझे कुछ पैसे उधार दे सकते हैं?,Can you lend me some money? , क्या आप मुझे कुछ पैसे उधार दे सकते हैं?
I need a ticket - मुझे टिकट चाहिए,I need a ticket , मुझे टिकट चाहिए
How far is the station? - स्टेशन कितनी दूर है?,How far is the station? , स्टेशन कितनी दूर है?
Please give me a discount - कृपया मुझे छूट दें,Please give me a discount , कृपया मुझे छूट दें
I am just looking - मैं बस देख रहा हूँ,I am just looking , मैं बस देख रहा हूँ
Where can I buy this? - मैं इसे कहाँ खरीद सकता हूँ?,Where can I buy this? , मैं इसे कहाँ खरीद सकता हूँ?
How long will it take? - इसमें कितना समय लगेगा?,How long will it take? , इसमें कितना समय लगेगा?
Do you accept credit cards? - क्या आप क्रेडिट कार्ड स्वीकार करते हैं?,Do you accept credit cards? , क्या आप क्रेडिट कार्ड स्वीकार करते हैं?
